区域%公司全称%主营产品%地址%联系人%联系方式%原链接地址
厚街镇%东莞市翌立家具有限公司%不锈钢家具,定制家具%广东东莞市厚街镇双岗社区上环工业园丽水路19号%汤文%13660476410%http://b2b.huangye88.com/qiye2303115/
厚街镇%东莞市百芝居家具有限公司%餐桌,餐椅,实木家具,板式家具%广东东莞市厚街镇南五村会展东路南35号二楼201室%陈志华%13823143768%http://b2b.huangye88.com/qiye2287887/
厚街镇%红林（顺林）家具木皮封边条有限公司%木皮封边条;桦木封边条;水曲柳封边条;红%中国广东东莞市东莞市厚街镇双岗家具大道下环工业区%赖汉明%13726404633%http://b2b.huangye88.com/gongsi/4046174/
厚街镇%东莞市老木坊家具有限公司%餐厅家具;客厅家具;卧房家具;书房家具;%中国广东东莞市厚街镇家具大道双岗管理区%%13711981212%http://b2b.huangye88.com/gongsi/4015218/
厚街镇%海纳木工刀具厂%木工刀具;%中国广东东莞市厚街镇家具大道侧%曾小成%15625556798%http://b2b.huangye88.com/gongsi/4013269/
厚街镇%美鑫现代五金家具厂%五金;家具;%中国广东东莞市东莞市厚街镇双岗北溪路一号%熊伟红%15197749163%http://b2b.huangye88.com/gongsi/4007042/
厚街镇%东莞市臻品家具有限公司%藤家具;沙发;卧房;餐台椅;床;写字台;%中国广东东莞市东莞市厚街镇下汴汴康西路%陈玉凤%13712167665%http://b2b.huangye88.com/gongsi/4004602/
厚街镇%鼎名纤维纸业有限公司%鞋包用中底板;鞋用半插板;纤维中底板;红%中国广东东莞市广东东莞市厚街镇新塘管理区%何帆%13434073506%http://b2b.huangye88.com/gongsi/3972619/
厚街镇%东莞市厚街国记木皮加工店%酸枝木皮;红橡木皮;黑胡桃木皮;科技木皮%中国广东东莞市厚街镇赤岭工业区13669843707%夏美茹%13926869178%http://b2b.huangye88.com/gongsi/3967732/
厚街镇%东莞锡泰家具五金有限公司%普通烤漆滑轨;家具五金配件;抽屉滑轨;抽%中国广东东莞市厚街镇.菊塘村.竹树厦....%吴锡钢%13532784286%http://b2b.huangye88.com/gongsi/3949980/
厚街镇%广东乾景竹板材制造有限公司%家具厂，工艺品厂，建筑建材装潢装饰公司;%中国广东东莞市东莞市厚街镇兴业木材木夹板市场%辛杰%13428593158%http://b2b.huangye88.com/gongsi/3945302/
厚街镇%东莞市楷荣家具有限公司%欧式家具;新古典家具;南瓜凳;贵妃椅;沙%中国广东东莞市厚街镇南五工业区东坑%胡中涛%13925808570%http://b2b.huangye88.com/gongsi/3918222/
厚街镇%锡泰家具五金配件有限公司%抽屉滑轨;钢珠滑轨;拉手;铰链;沙发脚;%中国广东东莞市厚街镇.菊塘村.竹树厦....%吴锡刚%13532784286%http://b2b.huangye88.com/gongsi/3910437/
厚街镇%东莞市二六度家具有限公司%钢木家具;实木家具;板式家具;玻璃家具;%中国广东东莞市厚街镇涌口南社湖滨街11号%张军会%13711981212%http://b2b.huangye88.com/gongsi/3909484/
厚街镇%东莞泽明机械有限公司%生产和销售压铸机、割草机、铣床机、木工机%广东省东莞市厚街镇沙塘村%%0769-85984877%http://b2b.huangye88.com/gongsi/3893403/
厚街镇%博雅家具五金有限公司%（普通、钢珠、隐藏）滑轨;（普通、液压）%中国广东东莞市厚街镇双岗下环大道63号%%13058565988%http://b2b.huangye88.com/gongsi/3893044/
厚街镇%广天雕刻有限公司%雕刻机;雕刻加工;雕刻刀具;浮雕培训;木%中国广东东莞市厚街镇家具大道2号馆对面%陈雪凡%13798905718%http://b2b.huangye88.com/gongsi/3886016/
厚街镇%东莞市厚街易和木皮加工厂%木材加工;木皮加工;木皮拼花;家具木皮贴%中国广东东莞市厚街镇白濠深溪路%陈莉%13925779306%http://b2b.huangye88.com/gongsi/3883871/
厚街镇%东莞市福益纤维纸板有限公司%纤维中底板;快巴纸;鞋用中底板;鞋用中底%中国广东东莞市厚街镇西环路顺升科技工业园%屈秋菊%13825722169%http://b2b.huangye88.com/gongsi/3863773/
厚街镇%永信家具配件有限公司%内外牙;藤网;家具五金配件;路轨;紧固件%中国广东东莞市厚街镇白濠村绿洲大道%朱建广%13724577488%http://b2b.huangye88.com/gongsi/3822757/
厚街镇%东莞市厚街振利木工刀具厂%不详%广东省东莞市厚街镇宝塘工业区107国道宝塘路口%郭庆年%0769-85917989%http://b2b.huangye88.com/gongsi/3811358/
厚街镇%东莞市安森美家具有限公司%户外编藤家具;吧台吧椅;咖啡桌椅;西餐厅%中国广东东莞市厚街镇南五驰生工业区,E-mail:onsmei@...%朱显明%13302645391%http://b2b.huangye88.com/gongsi/3529034/
